,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O）,氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO,五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),1,-0.472416776,-0.730948503,-0.750893187,-0.551681905,-0.842857143,-0.754140995,-0.446248806,-0.492792629,-0.390182307,-0.545809082,-0.537662287,0.036927447,-0.218104254
氧化钠(Na2O),-0.472416776,1,0.577736745,0.602713728,-0.175986766,0.301792207,0.226150992,-0.120542746,0.295386086,-0.195967119,-0.183007085,-0.07495819,-0.090966786,-0.224757027
氧化钾(K2O）,-0.730948503,0.577736745,1,0.56696236,0.178521125,0.417591792,0.396221971,0.153796686,0.312395882,0.057958193,0.14732775,0.374486989,0.111143786,0.048383585
氧化钙(CaO),-0.750893187,0.602713728,0.56696236,1,0.184615407,0.569015944,0.546783626,0.328784925,0.254988879,-0.056841124,0.094247649,0.024763715,-0.350924704,0.387673686
氧化镁(MgO),-0.551681905,-0.175986766,0.178521125,0.184615407,1,0.727638005,0.588916532,0.264019884,0.274250498,0.468867398,0.643385319,0.68247394,0.188088698,0.394792308
氧化铝(Al2O3),-0.842857143,0.301792207,0.417591792,0.569015944,0.727638005,1,0.726859408,0.283208849,0.555455428,0.448899062,0.504873401,0.54617205,-0.147709789,0.316294615
氧化铁(Fe2O3),-0.754140995,0.226150992,0.396221971,0.546783626,0.588916532,0.726859408,1,0.65497076,0.339340284,0.541885382,0.525186898,0.443038341,-0.350924704,0.244251806
氧化铜(CuO),-0.446248806,-0.120542746,0.153796686,0.328784925,0.264019884,0.283208849,0.65497076,1,0.062296221,0.491675723,0.525836882,0.179150002,-0.369394426,0.2698939
氧化铅(PbO),-0.492792629,0.295386086,0.312395882,0.254988879,0.274250498,0.555455428,0.339340284,0.062296221,1,0.697275367,0.153662351,0.365437788,-0.153979471,-0.380446198
氧化钡(BaO,-0.390182307,-0.195967119,0.057958193,-0.056841124,0.468867398,0.448899062,0.541885382,0.491675723,0.697275367,1,0.468144039,0.535931714,-0.107713555,-0.26613426
五氧化二磷(P2O5),-0.545809082,-0.183007085,0.14732775,0.094247649,0.643385319,0.504873401,0.525186898,0.525836882,0.153662351,0.468144039,1,0.496596465,0.295611596,0.171292691
氧化锶(SrO),-0.537662287,-0.07495819,0.374486989,0.024763715,0.68247394,0.54617205,0.443038341,0.179150002,0.365437788,0.535931714,0.496596465,1,0.307958942,0.039856268
氧化锡(SnO2),0.036927447,-0.090966786,0.111143786,-0.350924704,0.188088698,-0.147709789,-0.350924704,-0.369394426,-0.153979471,-0.107713555,0.295611596,0.307958942,1,-0.123537961
二氧化硫(SO2),-0.218104254,-0.224757027,0.048383585,0.387673686,0.394792308,0.316294615,0.244251806,0.2698939,-0.380446198,-0.26613426,0.171292691,0.039856268,-0.123537961,1
